FR,Article,Article_suggested,Gender_confidence,EN,Example_FR,Example_EN,TAGS
collègues (sérieux; sympathiques),,m,Low,colleagues (serious; friendly),La mise en œuvre repose en grande partie sur collègues (sérieux; sympathiques).,Implementation largely depends on colleagues (serious.,Module L8 — L’environnement de travail
conflit (de personnalité),,f,Low,a (personality) conflict,Nous misons sur conflit (de personnalité) pour renforcer l’équité et l’inclusion.,We’re relying on a (personality) conflict to strengthen equity and inclusion.,Module L8 — L’environnement de travail
Éclairé / Bien éclairé,,f,Low,bright / well-lit,L’ Éclairé / Bien éclairé est essentiel(le) pour appuyer la prise de décision.,The bright / well-lit is essential to support decision-making.,Module L8 — L’environnement de travail
édifice (de dix étages; moderne; vieux),,m,Low,a building (ten-storey; modern; old),"Lors de la réunion, l’ édifice (de dix étages; moderne; vieux) a été présenté(e) à l’équipe.","During the meeting, the a building (ten-storey was presented to the team.",Module L8 — L’environnement de travail
environnement (agréable; dynamique; motivant),,m,Low,an environment (pleasant; dynamic; motivating),Le plan inclut environnement (agréable; dynamique; motivant) pour améliorer la prestation de services.,The plan includes an environment (pleasant to improve service delivery.,Module L8 — L’environnement de travail
Installé / Être bien installé,,f,Low,settled in / to be comfortable,"Dans le rapport, l’ Installé / Être bien installé figure parmi les priorités.","In the report, the settled in / to be comfortable is listed among the priorities.",Module L8 — L’environnement de travail
Situé / Être bien situé,,f,Low,located / to be well located,"Sans Situé / Être bien situé, il serait difficile d’assurer une gouvernance claire.","Without located / to be well located, it would be difficult to ensure clear governance.",Module L8 — L’environnement de travail
Sombre / Un peu sombre,,f,Low,dark / a bit dark,"Dans la note d’information, on propose de Sombre / Un peu sombre pour réduire les risques.","In the briefing note, we propose to dark / a bit dark to reduce risks.",Module L8 — L’environnement de travail
communicateur,m,m,High,a communicator,La mise en œuvre repose en grande partie sur communicateur.,Implementation largely depends on a communicator.,Module L9 — Le leadership
Être un bon communicateur,,,,to be a good communicator,Le ministère s’attend à ce que nous puissions Être un bon communicateur sans retard.,The department expects us to be a good communicator without delay.,Module L9 — Le leadership
Communiquer efficacement,,,,to communicate effectively,Nous devons Communiquer efficacement avant la date limite fixée par le gestionnaire.,We must communicate effectively before the deadline set by the manager.,Module L9 — Le leadership
Savoir communiquer,,,,to know how to communicate,L’équipe a décidé de Savoir communiquer après la consultation des partenaires.,The team decided to know how to communicate after consulting stakeholders.,Module L9 — Le leadership
compétence,f,f,High,a competency,Le plan inclut compétence pour améliorer la prestation de services.,The plan includes a competency to improve service delivery.,Module L9 — Le leadership
Avoir des compétences,,,,to have competencies,Le comité recommande de Avoir des compétences afin d’assurer la transparence.,The committee recommends have competencies to ensure transparency.,Module L9 — Le leadership
Compétent,,m,Low,competent,"Sans Compétent, il serait difficile d’assurer une gouvernance claire.","Without competent, it would be difficult to ensure clear governance.",Module L9 — Le leadership
décision,f,f,High,a decision,Un budget supplémentaire a été alloué à décision cette année.,An additional budget was allocated to a decision this year.,Module L9 — Le leadership
Prendre des décisions importantes,,,,to make important decisions,"Après l’analyse des données, le groupe de travail va Prendre des décisions importantes.","After analyzing the data, the working group will make important decisions.",Module L9 — Le leadership
Déléguer (des responsabilités; des tâches),,,,to delegate (responsibilities; tasks),Le ministère s’attend à ce que nous puissions Déléguer (des responsabilités; des tâches) sans retard.,The department expects us to delegate (responsibilities without delay.,Module L9 — Le leadership
Diriger (une équipe; un projet),,,,to lead/manage (a team; a project),Nous devons Diriger (une équipe; un projet) avant la date limite fixée par le gestionnaire.,We must lead/manage (a team before the deadline set by the manager.,Module L9 — Le leadership
Gérer,,,,to manage,L’équipe a décidé de Gérer après la consultation des partenaires.,The team decided to manage after consulting stakeholders.,Module L9 — Le leadership
gestion (efficace; bonne),,f,Low,(effective; good) management,Le plan inclut gestion (efficace; bonne) pour améliorer la prestation de services.,The plan includes (effective to improve service delivery.,Module L9 — Le leadership
style de gestion,f,f,High,management style,"Dans le rapport, le style de gestion figure parmi les priorités.","In the report, the management style is listed among the priorities.",Module L9 — Le leadership
jugement,m,m,High,judgment,"Sans jugement, il serait difficile d’assurer une gouvernance claire.","Without judgment, it would be difficult to ensure clear governance.",Module L9 — Le leadership
Avoir du jugement / Manquer de jugement,,,,to have / to lack good judgment,"Dans la note d’information, on propose de Avoir du jugement / Manquer de jugement pour réduire les risques.","In the briefing note, we propose to have / to lack good judgment to reduce risks.",Module L9 — Le leadership
leader,,m,Medium,a leader,"Après l’analyse des données, le groupe de travail va leader.","After analyzing the data, the working group will a leader.",Module L9 — Le leadership
leadership,,m,Low,leadership,Nous misons sur leadership pour renforcer l’équité et l’inclusion.,We’re relying on leadership to strengthen equity and inclusion.,Module L9 — Le leadership
Faire preuve de leadership,,,,to show leadership,Nous devons Faire preuve de leadership avant la date limite fixée par le gestionnaire.,We must show leadership before the deadline set by the manager.,Module L9 — Le leadership
Motiver (le personnel; son monde),,,,to motivate (staff; people),L’équipe a décidé de Motiver (le personnel; son monde) après la consultation des partenaires.,The team decided to motivate (staff after consulting stakeholders.,Module L9 — Le leadership
vision,f,f,High,a vision,Le plan inclut vision pour améliorer la prestation de services.,The plan includes a vision to improve service delivery.,Module L9 — Le leadership
Avoir une vision,,,,to have a vision,Le comité recommande de Avoir une vision afin d’assurer la transparence.,The committee recommends have a vision to ensure transparency.,Module L9 — Le leadership
contrat de travail,m,m,High,a working agreement,"Sans contrat de travail, il serait difficile d’assurer une gouvernance claire.","Without a working agreement, it would be difficult to ensure clear governance.",Module L10 — Négociations et moyens de pression
convention collective,,f,Low,the (collective) agreement,Un budget supplémentaire a été alloué à convention collective cette année.,An additional budget was allocated to the (collective) agreement this year.,Module L10 — Négociations et moyens de pression
Signer la convention collective,,,,to sign the collective agreement,"Après l’analyse des données, le groupe de travail va Signer la convention collective.","After analyzing the data, the working group will sign the collective agreement.",Module L10 — Négociations et moyens de pression
Demander / Les demandes,,,,to ask for / demands,Le ministère s’attend à ce que nous puissions Demander / Les demandes sans retard.,The department expects us to ask for / demands without delay.,Module L10 — Négociations et moyens de pression
désaccord,,m,Low,a disagreement,Le désaccord est essentiel(le) pour appuyer la prise de décision.,The a disagreement is essential to support decision-making.,Module L10 — Négociations et moyens de pression
Être en désaccord,,,,to disagree,L’équipe a décidé de Être en désaccord après la consultation des partenaires.,The team decided to disagree after consulting stakeholders.,Module L10 — Négociations et moyens de pression
S’entendre,,,,to agree,"Pour respecter l’échéancier, on va S’entendre dès cette semaine.","To meet the timeline, we will agree this week.",Module L10 — Négociations et moyens de pression
entente,,f,Low,an agreement,"Dans le rapport, l’ entente figure parmi les priorités.","In the report, the an agreement is listed among the priorities.",Module L10 — Négociations et moyens de pression
En arriver à; conclure une entente,,,,to reach an agreement,"Avant la séance d’information, il faudra En arriver à; conclure une entente les options possibles.","Before the briefing, we’ll reach an agreement the possible options.",Module L10 — Négociations et moyens de pression
grève (du zèle),,f,Low,a strike (work-to-rule),Un budget supplémentaire a été alloué à grève (du zèle) cette année.,An additional budget was allocated to a strike this year.,Module L10 — Négociations et moyens de pression
Faire la grève / Être en grève,,,,to strike / to be on strike,"Après l’analyse des données, le groupe de travail va Faire la grève / Être en grève.","After analyzing the data, the working group will strike / to be on strike.",Module L10 — Négociations et moyens de pression
négociation,f,f,High,negotiation,Nous misons sur négociation pour renforcer l’équité et l’inclusion.,We’re relying on negotiation to strengthen equity and inclusion.,Module L10 — Négociations et moyens de pression
déroulement; l’objet; l’ouverture; le processus (de négociation),f,f,High,course; subject; opening; process (of negotiation),Le déroulement; l’objet; l’ouverture; le processus (de négociation) est essentiel(le) pour appuyer la prise de décision.,The course is essential to support decision-making.,Module L10 — Négociations et moyens de pression
négociations (collectives; en cours; rompues),,m,Low,(collective; ongoing; broken-down) bargaining,"Lors de la réunion, le négociations (collectives; en cours; rompues) a été présenté(e) à l’équipe.","During the meeting, the (collective was presented to the team.",Module L10 — Négociations et moyens de pression
Négocier (un contrat de travail; une entente),,,,to negotiate (a working agreement; an agreement),"Pour respecter l’échéancier, on va Négocier (un contrat de travail; une entente) dès cette semaine.","To meet the timeline, we will negotiate (a working agreement this week.",Module L10 — Négociations et moyens de pression
offres,,m,Low,offers,"Dans le rapport, l’ offres figure parmi les priorités.","In the report, the offers is listed among the priorities.",Module L10 — Négociations et moyens de pression
Accepter; rejeter les offres,,m,Low,accept; reject offers,"Sans Accepter; rejeter les offres, il serait difficile d’assurer une gouvernance claire.","Without accept, it would be difficult to ensure clear governance.",Module L10 — Négociations et moyens de pression
Offrir,,,,to offer,"Dans la note d’information, on propose de Offrir pour réduire les risques.","In the briefing note, we propose to offer to reduce risks.",Module L10 — Négociations et moyens de pression
Syndical,,m,Low,union-related,La mise en œuvre repose en grande partie sur Syndical.,Implementation largely depends on union-related.,Module L10 — Négociations et moyens de pression
Relations patronales-syndicales,,m,Low,labour-management relations,Nous misons sur Relations patronales-syndicales pour renforcer l’équité et l’inclusion.,We’re relying on labour-management relations to strengthen equity and inclusion.,Module L10 — Négociations et moyens de pression
Représentant syndical,,m,Low,union representative,Le Représentant syndical est essentiel(le) pour appuyer la prise de décision.,The union representative is essential to support decision-making.,Module L10 — Négociations et moyens de pression
syndicat,,m,Low,the union,"Lors de la réunion, le syndicat a été présenté(e) à l’équipe.","During the meeting, the the union was presented to the team.",Module L10 — Négociations et moyens de pression
attitude (positive; négative),,f,Low,attitude (positive; negative),Le plan inclut attitude (positive; négative) pour améliorer la prestation de services.,The plan includes attitude (positive to improve service delivery.,Module L11 — Collaboration et compétition
Avoir une bonne attitude,,,,to have the right attitude,Le comité recommande de Avoir une bonne attitude afin d’assurer la transparence.,The committee recommends have the right attitude to ensure transparency.,Module L11 — Collaboration et compétition
question d’attitude,,f,Low,a question of attitude,"Sans question d’attitude, il serait difficile d’assurer une gouvernance claire.","Without a question of attitude, it would be difficult to ensure clear governance.",Module L11 — Collaboration et compétition
climat (de travail),m,m,High,environment (work),Un budget supplémentaire a été alloué à climat (de travail) cette année.,An additional budget was allocated to environment this year.,Module L11 — Collaboration et compétition
bon climat,,m,Low,good environment,La mise en œuvre repose en grande partie sur bon climat.,Implementation largely depends on good environment.,Module L11 — Collaboration et compétition
Collaborer,,,,to collaborate,Le ministère s’attend à ce que nous puissions Collaborer sans retard.,The department expects us to collaborate without delay.,Module L11 — Collaboration et compétition
compétition,f,f,High,competition,Le compétition est essentiel(le) pour appuyer la prise de décision.,The competition is essential to support decision-making.,Module L11 — Collaboration et compétition
Être en compétition,,,,to be competing,L’équipe a décidé de Être en compétition après la consultation des partenaires.,The team decided to be competing after consulting stakeholders.,Module L11 — Collaboration et compétition
conflit (de personnalité),,f,Low,a (personality) conflict,Le plan inclut conflit (de personnalité) pour améliorer la prestation de services.,The plan includes a (personality) conflict to improve service delivery.,Module L11 — Collaboration et compétition
Créer; éviter; régler un conflit,,,,to create; avoid; resolve a conflict,Le comité recommande de Créer; éviter; régler un conflit afin d’assurer la transparence.,The committee recommends create to ensure transparency.,Module L11 — Collaboration et compétition
coopération,f,f,High,cooperation,"Sans coopération, il serait difficile d’assurer une gouvernance claire.","Without cooperation, it would be difficult to ensure clear governance.",Module L11 — Collaboration et compétition
Coopérer,,,,to cooperate,"Dans la note d’information, on propose de Coopérer pour réduire les risques.","In the briefing note, we propose to cooperate to reduce risks.",Module L11 — Collaboration et compétition
L’efficacité,,f,Low,efficiency,La mise en œuvre repose en grande partie sur L’efficacité.,Implementation largely depends on efficiency.,Module L11 — Collaboration et compétition
Question d’efficacité,,f,Low,a matter of efficiency,Nous misons sur Question d’efficacité pour renforcer l’équité et l’inclusion.,We’re relying on a matter of efficiency to strengthen equity and inclusion.,Module L11 — Collaboration et compétition
Gagner / Perdre,,,,to win / to lose,Nous devons Gagner / Perdre avant la date limite fixée par le gestionnaire.,We must win / to lose before the deadline set by the manager.,Module L11 — Collaboration et compétition
pouvoir,m,m,High,power,L’équipe a décidé de pouvoir après la consultation des partenaires.,The team decided to power after consulting stakeholders.,Module L11 — Collaboration et compétition
lutte de pouvoir,m,m,High,power struggle,"Pour respecter l’échéancier, on va lutte de pouvoir dès cette semaine.","To meet the timeline, we will power struggle this week.",Module L11 — Collaboration et compétition
Avoir du pouvoir,,,,to have power,Le comité recommande de Avoir du pouvoir afin d’assurer la transparence.,The committee recommends have power to ensure transparency.,Module L11 — Collaboration et compétition
Travailler (ensemble; en équipe; dans un même but),,,,to work (together; as a team; toward the same goal),"Avant la séance d’information, il faudra Travailler (ensemble; en équipe; dans un même but) les options possibles.","Before the briefing, we’ll work (together the possible options.",Module L11 — Collaboration et compétition
article,,f,Low,an article,Un budget supplémentaire a été alloué à article cette année.,An additional budget was allocated to an article this year.,Module L12 — Convention collective
Faire référence à un article,,,,to refer to an article,"Après l’analyse des données, le groupe de travail va Faire référence à un article.","After analyzing the data, the working group will refer to an article.",Module L12 — Convention collective
avantages sociaux,,m,Low,benefits,Nous misons sur avantages sociaux pour renforcer l’équité et l’inclusion.,We’re relying on benefits to strengthen equity and inclusion.,Module L12 — Convention collective
clause (discrétionnaire; non discrétionnaire),,f,Low,a (discretionary; non-discretionary) clause,Le clause (discrétionnaire; non discrétionnaire) est essentiel(le) pour appuyer la prise de décision.,The a (discretionary is essential to support decision-making.,Module L12 — Convention collective
conditions de travail,m,m,High,working conditions,"Lors de la réunion, le conditions de travail a été présenté(e) à l’équipe.","During the meeting, the working conditions was presented to the team.",Module L12 — Convention collective
conflit de travail,m,m,High,labour dispute,Le plan inclut conflit de travail pour améliorer la prestation de services.,The plan includes labour dispute to improve service delivery.,Module L12 — Convention collective
droit (acquis),m,m,High,a (acquired) right,"Dans le rapport, le droit (acquis) figure parmi les priorités.","In the report, the a (acquired) right is listed among the priorities.",Module L12 — Convention collective
droits des travailleurs,,m,Low,workers’ rights,"Sans droits des travailleurs, il serait difficile d’assurer une gouvernance claire.","Without workers’ rights, it would be difficult to ensure clear governance.",Module L12 — Convention collective
L’employé,,f,Low,the employee,Un budget supplémentaire a été alloué à L’employé cette année.,An additional budget was allocated to the employee this year.,Module L12 — Convention collective
L’employeur,,m,Low,the employer,La mise en œuvre repose en grande partie sur L’employeur.,Implementation largely depends on the employer.,Module L12 — Convention collective
entente,,f,Low,an agreement,Nous misons sur entente pour renforcer l’équité et l’inclusion.,We’re relying on an agreement to strengthen equity and inclusion.,Module L12 — Convention collective
En arriver à une entente,,,,to reach an agreement,Nous devons En arriver à une entente avant la date limite fixée par le gestionnaire.,We must reach an agreement before the deadline set by the manager.,Module L12 — Convention collective
grief,,m,Low,a grievance,"Lors de la réunion, le grief a été présenté(e) à l’équipe.","During the meeting, the a grievance was presented to the team.",Module L12 — Convention collective
Faire un grief,,,,to file a grievance,"Pour respecter l’échéancier, on va Faire un grief dès cette semaine.","To meet the timeline, we will file a grievance this week.",Module L12 — Convention collective
négociations (syndicales),,m,Low,(union) negotiations,"Dans le rapport, le négociations (syndicales) figure parmi les priorités.","In the report, the negotiations is listed among the priorities.",Module L12 — Convention collective
table de négociations,,m,Low,bargaining table,"Sans table de négociations, il serait difficile d’assurer une gouvernance claire.","Without bargaining table, it would be difficult to ensure clear governance.",Module L12 — Convention collective
plainte,,f,Low,a complaint,Un budget supplémentaire a été alloué à plainte cette année.,An additional budget was allocated to a complaint this year.,Module L12 — Convention collective
Faire une plainte,,,,to lodge a complaint,"Après l’analyse des données, le groupe de travail va Faire une plainte.","After analyzing the data, the working group will lodge a complaint.",Module L12 — Convention collective
Syndical,,m,Low,union-related,Nous misons sur Syndical pour renforcer l’équité et l’inclusion.,We’re relying on union-related to strengthen equity and inclusion.,Module L12 — Convention collective
Représentant; délégué syndical,,m,Low,union representative; steward,Le Représentant; délégué syndical est essentiel(le) pour appuyer la prise de décision.,The union representative is essential to support decision-making.,Module L12 — Convention collective
Cotisations; demandes; revendications syndicales,,m,Low,union fees; demands; claims,"Lors de la réunion, le Cotisations; demandes; revendications syndicales a été présenté(e) à l’équipe.","During the meeting, the union fees was presented to the team.",Module L12 — Convention collective
syndicat,,m,Low,the union,Le plan inclut syndicat pour améliorer la prestation de services.,The plan includes the union to improve service delivery.,Module L12 — Convention collective
accord,,m,Low,an agreement,"Dans le rapport, l’ accord figure parmi les priorités.","In the report, the an agreement is listed among the priorities.",Module L13 — La mondialisation
Ratifier; signer un accord,,,,to ratify; sign an agreement,"Avant la séance d’information, il faudra Ratifier; signer un accord les options possibles.","Before the briefing, we’ll ratify the possible options.",Module L13 — La mondialisation
commerce (équitable),,f,Low,trade (fair trade),Un budget supplémentaire a été alloué à commerce (équitable) cette année.,An additional budget was allocated to trade this year.,Module L13 — La mondialisation
conflits (sociaux),,m,Low,(social) conflicts,La mise en œuvre repose en grande partie sur conflits (sociaux).,Implementation largely depends on conflicts.,Module L13 — La mondialisation
Créer; provoquer un conflit,,,,to create; cause a conflict,Le ministère s’attend à ce que nous puissions Créer; provoquer un conflit sans retard.,The department expects us to create without delay.,Module L13 — La mondialisation
démocratie,f,f,High,a democracy,Le démocratie est essentiel(le) pour appuyer la prise de décision.,The a democracy is essential to support decision-making.,Module L13 — La mondialisation
échanges (internationaux),,m,Low,trade (international trade),"Lors de la réunion, l’ échanges (internationaux) a été présenté(e) à l’équipe.","During the meeting, the trade was presented to the team.",Module L13 — La mondialisation
frontière,,f,Low,a border,"Pour respecter l’échéancier, on va frontière dès cette semaine.","To meet the timeline, we will a border this week.",Module L13 — La mondialisation
Abolir; ignorer les frontières,,m,Low,abolish; ignore borders,"Dans le rapport, l’ Abolir; ignorer les frontières figure parmi les priorités.","In the report, the abolish is listed among the priorities.",Module L13 — La mondialisation
gouvernement,m,m,High,a government,"Sans gouvernement, il serait difficile d’assurer une gouvernance claire.","Without a government, it would be difficult to ensure clear governance.",Module L13 — La mondialisation
identité (culturelle),,f,Low,(cultural) identity,Un budget supplémentaire a été alloué à identité (culturelle) cette année.,An additional budget was allocated to identity this year.,Module L13 — La mondialisation
perte d’identité,,f,Low,loss of identity,La mise en œuvre repose en grande partie sur perte d’identité.,Implementation largely depends on loss of identity.,Module L13 — La mondialisation
main-d’œuvre (bon marché),,f,Low,labour (cheap),Nous misons sur main-d’œuvre (bon marché) pour renforcer l’équité et l’inclusion.,We’re relying on labour to strengthen equity and inclusion.,Module L13 — La mondialisation
L’exploitation de la main-d’œuvre,,f,Low,labour exploitation,Nous devons L’exploitation de la main-d’œuvre avant la date limite fixée par le gestionnaire.,We must labour exploitation before the deadline set by the manager.,Module L13 — La mondialisation
mouvement (antimondialisation; de protestation),f,f,High,(anti-globalization; protest) movement,"Lors de la réunion, le mouvement (antimondialisation; de protestation) a été présenté(e) à l’équipe.","During the meeting, the (anti-globalization was presented to the team.",Module L13 — La mondialisation
multinationale,,f,Low,a multinational,Le plan inclut multinationale pour améliorer la prestation de services.,The plan includes a multinational to improve service delivery.,Module L13 — La mondialisation
pays (en développement; industrialisé),,f,Low,a (developing; industrialized) country,"Dans le rapport, le pays (en développement; industrialisé) figure parmi les priorités.","In the report, the a (developing is listed among the priorities.",Module L13 — La mondialisation
profit,m,m,High,profit,"Sans profit, il serait difficile d’assurer une gouvernance claire.","Without profit, it would be difficult to ensure clear governance.",Module L13 — La mondialisation
Réaliser des profits,,,,to make profits,"Dans la note d’information, on propose de Réaliser des profits pour réduire les risques.","In the briefing note, we propose to make profits to reduce risks.",Module L13 — La mondialisation
Avoir raison,,,,to be right,"Après l’analyse des données, le groupe de travail va Avoir raison.","After analyzing the data, the working group will be right.",Module L14 — Le service à la clientèle
client a toujours raison,,m,Low,the customer is always right,Nous misons sur client a toujours raison pour renforcer l’équité et l’inclusion.,We’re relying on the customer is always right to strengthen equity and inclusion.,Module L14 — Le service à la clientèle
client (externe; interne; difficile; exigeant; satisfait),m,m,High,a client (external; internal; difficult; demanding; satisfied),Le client (externe; interne; difficile; exigeant; satisfait) est essentiel(le) pour appuyer la prise de décision.,The a client (external is essential to support decision-making.,Module L14 — Le service à la clientèle
approche client,,m,Low,customer-oriented approach,"Lors de la réunion, l’ approche client a été présenté(e) à l’équipe.","During the meeting, the customer-oriented approach was presented to the team.",Module L14 — Le service à la clientèle
clientèle (diversifiée),,f,Low,(diversified) clientele,Le plan inclut clientèle (diversifiée) pour améliorer la prestation de services.,The plan includes clientele to improve service delivery.,Module L14 — Le service à la clientèle
contact,,m,Low,contact,"Dans le rapport, le contact figure parmi les priorités.","In the report, the contact is listed among the priorities.",Module L14 — Le service à la clientèle
Avoir un bon contact,,,,to have good rapport,"Avant la séance d’information, il faudra Avoir un bon contact les options possibles.","Before the briefing, we’ll have good rapport the possible options.",Module L14 — Le service à la clientèle
Être en contact,,,,to be in touch,"Dans la note d’information, on propose de Être en contact pour réduire les risques.","In the briefing note, we propose to be in touch to reduce risks.",Module L14 — Le service à la clientèle
Disponible,,f,Low,available,La mise en œuvre repose en grande partie sur Disponible.,Implementation largely depends on available.,Module L14 — Le service à la clientèle
disponibilité,,f,Low,availability,Nous misons sur disponibilité pour renforcer l’équité et l’inclusion.,We’re relying on availability to strengthen equity and inclusion.,Module L14 — Le service à la clientèle
Accessible,,f,Low,accessible,L’ Accessible est essentiel(le) pour appuyer la prise de décision.,The accessible is essential to support decision-making.,Module L14 — Le service à la clientèle
Écouter,,,,to listen,L’équipe a décidé de Écouter après la consultation des partenaires.,The team decided to listen after consulting stakeholders.,Module L14 — Le service à la clientèle
Savoir écouter,,,,to be a good listener,"Pour respecter l’échéancier, on va Savoir écouter dès cette semaine.","To meet the timeline, we will be a good listener this week.",Module L14 — Le service à la clientèle
Se plaindre,,,,to complain,Le comité recommande de Se plaindre afin d’assurer la transparence.,The committee recommends complain to ensure transparency.,Module L14 — Le service à la clientèle
plainte,,f,Low,a complaint,"Sans plainte, il serait difficile d’assurer une gouvernance claire.","Without a complaint, it would be difficult to ensure clear governance.",Module L14 — Le service à la clientèle
produit / un service (de qualité; en demande; fiable),,f,Low,a product/service (quality; in demand; reliable),Un budget supplémentaire a été alloué à produit / un service (de qualité; en demande; fiable) cette année.,An additional budget was allocated to a product/service (quality this year.,Module L14 — Le service à la clientèle
service (courtois; efficace; en ligne; rapide),,f,Low,a (courteous; efficient; online; quick) service,La mise en œuvre repose en grande partie sur service (courtois; efficace; en ligne; rapide).,Implementation largely depends on a (courteous.,Module L14 — Le service à la clientèle
Assurer; fournir un service,,,,to provide service,Le ministère s’attend à ce que nous puissions Assurer; fournir un service sans retard.,The department expects us to provide service without delay.,Module L14 — Le service à la clientèle
renseignement,m,m,High,information,Le renseignement est essentiel(le) pour appuyer la prise de décision.,The information is essential to support decision-making.,Module L14 — Le service à la clientèle
Renseigner,,,,to inform,L’équipe a décidé de Renseigner après la consultation des partenaires.,The team decided to inform after consulting stakeholders.,Module L14 — Le service à la clientèle
Répondre (à un besoin; à une demande; à une plainte),,,,to respond (to a need; a request; a complaint),"Pour respecter l’échéancier, on va Répondre (à un besoin; à une demande; à une plainte) dès cette semaine.","To meet the timeline, we will respond (to a need this week.",Module L14 — Le service à la clientèle
respect,,m,Low,respect,"Dans le rapport, le respect figure parmi les priorités.","In the report, the respect is listed among the priorities.",Module L14 — Le service à la clientèle
Manquer de respect,,,,to lack respect,"Avant la séance d’information, il faudra Manquer de respect les options possibles.","Before the briefing, we’ll lack respect the possible options.",Module L14 — Le service à la clientèle
Traiter avec respect,,,,to treat with respect,"Dans la note d’information, on propose de Traiter avec respect pour réduire les risques.","In the briefing note, we propose to treat with respect to reduce risks.",Module L14 — Le service à la clientèle
Satisfaire (le client),,,,to satisfy (the client),"Après l’analyse des données, le groupe de travail va Satisfaire (le client).","After analyzing the data, the working group will satisfy.",Module L14 — Le service à la clientèle
plus rapidement possible,,f,Low,as quickly as possible,Nous misons sur plus rapidement possible pour renforcer l’équité et l’inclusion.,We’re relying on as quickly as possible to strengthen equity and inclusion.,Module L14 — Le service à la clientèle
satisfaction du client,,m,Low,client satisfaction,Le satisfaction du client est essentiel(le) pour appuyer la prise de décision.,The client satisfaction is essential to support decision-making.,Module L14 — Le service à la clientèle
compte rendu,,m,Low,minutes,"Lors de la réunion, le compte rendu a été présenté(e) à l’équipe.","During the meeting, the minutes was presented to the team.",Module L15 — Réunion
Rédiger un compte rendu,,,,to take minutes,"Pour respecter l’échéancier, on va Rédiger un compte rendu dès cette semaine.","To meet the timeline, we will take minutes this week.",Module L15 — Réunion
Digresser,,,,to digress,Le comité recommande de Digresser afin d’assurer la transparence.,The committee recommends digress to ensure transparency.,Module L15 — Réunion
digression,f,f,High,a digression,"Sans digression, il serait difficile d’assurer une gouvernance claire.","Without a digression, it would be difficult to ensure clear governance.",Module L15 — Réunion
Faire une digression,,,,to digress,"Dans la note d’information, on propose de Faire une digression pour réduire les risques.","In the briefing note, we propose to digress to reduce risks.",Module L15 — Réunion
Échanger des idées,,,,to exchange ideas,"Après l’analyse des données, le groupe de travail va Échanger des idées.","After analyzing the data, the working group will exchange ideas.",Module L15 — Réunion
S’éterniser,,,,to drag on,Le ministère s’attend à ce que nous puissions S’éterniser sans retard.,The department expects us to drag on without delay.,Module L15 — Réunion
Exposer un problème,,,,to set out a problem,Nous devons Exposer un problème avant la date limite fixée par le gestionnaire.,We must set out a problem before the deadline set by the manager.,Module L15 — Réunion
Interrompre,,,,to interrupt,L’équipe a décidé de Interrompre après la consultation des partenaires.,The team decided to interrupt after consulting stakeholders.,Module L15 — Réunion
intervention,f,f,High,a comment / intervention,Le plan inclut intervention pour améliorer la prestation de services.,The plan includes a comment / intervention to improve service delivery.,Module L15 — Réunion
Faire une intervention,,,,to make a comment,Le comité recommande de Faire une intervention afin d’assurer la transparence.,The committee recommends make a comment to ensure transparency.,Module L15 — Réunion
L’ordre du jour,,m,Low,the agenda,"Sans L’ordre du jour, il serait difficile d’assurer une gouvernance claire.","Without the agenda, it would be difficult to ensure clear governance.",Module L15 — Réunion
Respecter; modifier l’ordre du jour,,,,to follow; amend the agenda,"Dans la note d’information, on propose de Respecter; modifier l’ordre du jour pour réduire les risques.","In the briefing note, we propose to follow to reduce risks.",Module L15 — Réunion
participant,,m,Low,a participant,La mise en œuvre repose en grande partie sur participant.,Implementation largely depends on a participant.,Module L15 — Réunion
Prendre des notes,,,,to take notes,Le ministère s’attend à ce que nous puissions Prendre des notes sans retard.,The department expects us to take notes without delay.,Module L15 — Réunion
Se préparer,,,,to get ready,Nous devons Se préparer avant la date limite fixée par le gestionnaire.,We must get ready before the deadline set by the manager.,Module L15 — Réunion
réunion (interminable; productive; improductive),,f,Low,a (endless; productive; counter-productive) meeting,"Lors de la réunion, le réunion (interminable; productive; improductive) a été présenté(e) à l’équipe.","During the meeting, the a (endless was presented to the team.",Module L15 — Réunion
Animer; Annuler; Assister; Avoir lieu; Convoquer; Durer; Être en réunion; Organiser; Planifier; Reporter; Se terminer,,,,to moderate; cancel; attend; take place; call; last; be in a meeting; organize; plan; postpone; end,"Pour respecter l’échéancier, on va Animer; Annuler; Assister; Avoir lieu; Convoquer; Durer; Être en réunion; Organiser; Planifier; Reporter; Se terminer dès cette semaine.","To meet the timeline, we will moderate this week.",Module L15 — Réunion
suivi,,m,Low,follow-up,"Dans le rapport, le suivi figure parmi les priorités.","In the report, the follow-up is listed among the priorities.",Module L15 — Réunion
Assurer le suivi,,,,to follow up,"Avant la séance d’information, il faudra Assurer le suivi les options possibles.","Before the briefing, we’ll follow up the possible options.",Module L15 — Réunion
abus,,m,Low,abuse,Un budget supplémentaire a été alloué à abus cette année.,An additional budget was allocated to abuse this year.,Module L16 — Valeurs et éthique
attitude,,f,Low,attitude,La mise en œuvre repose en grande partie sur attitude.,Implementation largely depends on attitude.,Module L16 — Valeurs et éthique
question d’attitude,,f,Low,a question of attitude,Nous misons sur question d’attitude pour renforcer l’équité et l’inclusion.,We’re relying on a question of attitude to strengthen equity and inclusion.,Module L16 — Valeurs et éthique
